timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1520816183590,2,TCP Sampler Text,200,OK,Thread Group 1-1,text,true,,80,0,1,1,2,0,0
1520816183595,10,TCP Sampler Binary,200,OK,Thread Group 1-1,text,true,,32,0,1,1,10,0,0
1520816183606,2,TCP Sampler Text,200,OK,Thread Group 1-1,text,true,,80,0,1,1,2,0,0
1520816183609,1,TCP Sampler Binary,200,OK,Thread Group 1-1,text,true,,32,0,1,1,1,0,0
1520816183699,2,TCP Sampler Text,200,OK,Thread Group 1-2,text,true,,80,0,1,1,2,0,1
1520816183701,2,TCP Sampler Binary,200,OK,Thread Group 1-2,text,true,,32,0,1,1,2,0,2
1520816183704,4,TCP Sampler Text,200,OK,Thread Group 1-2,text,true,,80,0,1,1,4,0,0
1520816183709,1,TCP Sampler Binary,200,OK,Thread Group 1-2,text,true,,32,0,1,1,1,0,0
1520816183804,2,TCP Sampler Text,200,OK,Thread Group 1-3,text,true,,80,0,1,1,1,0,1
1520816183806,1,TCP Sampler Binary,200,OK,Thread Group 1-3,text,true,,32,0,1,1,1,0,0
1520816183809,1,TCP Sampler Text,200,OK,Thread Group 1-3,text,true,,80,0,1,1,1,0,0
1520816183811,0,TCP Sampler Binary,200,OK,Thread Group 1-3,text,true,,32,0,1,1,0,0,0
1520816183899,3,TCP Sampler Text,200,OK,Thread Group 1-4,text,true,,80,0,1,1,3,0,0
1520816183903,4,TCP Sampler Binary,200,OK,Thread Group 1-4,text,true,,32,0,1,1,4,0,0
1520816183907,1,TCP Sampler Text,200,OK,Thread Group 1-4,text,true,,80,0,1,1,1,0,0
1520816183908,1,TCP Sampler Binary,200,OK,Thread Group 1-4,text,true,,32,0,1,1,1,0,0
1520816184003,1,TCP Sampler Text,200,OK,Thread Group 1-5,text,true,,80,0,1,1,1,0,0
1520816184004,1,TCP Sampler Binary,200,OK,Thread Group 1-5,text,true,,32,0,1,1,1,0,1
1520816184006,1,TCP Sampler Text,200,OK,Thread Group 1-5,text,true,,80,0,1,1,1,0,0
1520816184007,1,TCP Sampler Binary,200,OK,Thread Group 1-5,text,true,,32,0,1,1,1,0,0
1520816184098,1,TCP Sampler Text,200,OK,Thread Group 1-6,text,true,,80,0,1,1,1,0,0
1520816184099,1,TCP Sampler Binary,200,OK,Thread Group 1-6,text,true,,32,0,1,1,1,0,1
1520816184100,1,TCP Sampler Text,200,OK,Thread Group 1-6,text,true,,80,0,1,1,1,0,1
1520816184102,1,TCP Sampler Binary,200,OK,Thread Group 1-6,text,true,,32,0,1,1,1,0,0
1520816184204,1,TCP Sampler Text,200,OK,Thread Group 1-7,text,true,,80,0,1,1,1,0,0
1520816184205,2,TCP Sampler Binary,200,OK,Thread Group 1-7,text,true,,32,0,1,1,2,0,1
1520816184207,1,TCP Sampler Text,200,OK,Thread Group 1-7,text,true,,80,0,1,1,1,0,0
1520816184208,1,TCP Sampler Binary,200,OK,Thread Group 1-7,text,true,,32,0,1,1,1,0,1
1520816184298,2,TCP Sampler Text,200,OK,Thread Group 1-8,text,true,,80,0,1,1,2,0,1
1520816184301,2,TCP Sampler Binary,200,OK,Thread Group 1-8,text,true,,32,0,1,1,2,0,0
1520816184303,1,TCP Sampler Text,200,OK,Thread Group 1-8,text,true,,80,0,1,1,1,0,1
1520816184305,10,TCP Sampler Binary,200,OK,Thread Group 1-8,text,true,,32,0,1,1,10,0,0
1520816184403,3,TCP Sampler Text,200,OK,Thread Group 1-9,text,true,,80,0,1,1,3,0,0
1520816184406,1,TCP Sampler Binary,200,OK,Thread Group 1-9,text,true,,32,0,1,1,1,0,0
1520816184408,1,TCP Sampler Text,200,OK,Thread Group 1-9,text,true,,80,0,1,1,0,0,0
1520816184409,2,TCP Sampler Binary,200,OK,Thread Group 1-9,text,true,,32,0,1,1,2,0,0
1520816184498,1,TCP Sampler Text,200,OK,Thread Group 1-10,text,true,,80,0,1,1,1,0,0
1520816184500,0,TCP Sampler Binary,200,OK,Thread Group 1-10,text,true,,32,0,1,1,0,0,0
1520816184500,1,TCP Sampler Text,200,OK,Thread Group 1-10,text,true,,80,0,1,1,1,0,1
1520816184501,1,TCP Sampler Binary,200,OK,Thread Group 1-10,text,true,,32,0,1,1,1,0,1
