timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1520816316702,106,TCP Sampler Text,200,OK,Thread Group 1-13,text,true,,82,0,40,40,106,0,0
1520816316812,25,TCP Sampler Binary,200,OK,Thread Group 1-13,text,true,,36,0,48,48,25,0,1
1520816316837,24,TCP Sampler Text,200,OK,Thread Group 1-13,text,true,,82,0,67,67,24,0,0
1520816316855,25,TCP Sampler Text,200,OK,Thread Group 1-72,text,true,,82,0,80,80,25,0,0
1520816316693,120,TCP Sampler Text,200,OK,Thread Group 1-9,text,true,,82,0,40,40,120,0,0
1520816316821,57,TCP Sampler Text,200,OK,Thread Group 1-57,text,true,,82,0,79,79,57,0,0
1520816316653,218,TCP Sampler Text,200,OK,Thread Group 1-2,text,true,,82,0,74,74,218,0,4
1520816316677,190,TCP Sampler Text,200,OK,Thread Group 1-6,text,true,,82,0,72,72,190,0,0
1520816316720,146,TCP Sampler Text,200,OK,Thread Group 1-16,text,true,,82,0,71,71,146,0,0
1520816316721,145,TCP Sampler Text,200,OK,Thread Group 1-20,text,true,,82,0,71,71,145,0,1
1520816316723,143,TCP Sampler Text,200,OK,Thread Group 1-24,text,true,,82,0,71,71,143,0,0
1520816316724,142,TCP Sampler Text,200,OK,Thread Group 1-10,text,true,,82,0,71,71,142,0,0
1520816316726,140,TCP Sampler Text,200,OK,Thread Group 1-28,text,true,,82,0,71,71,140,0,0
1520816316732,134,TCP Sampler Text,200,OK,Thread Group 1-30,text,true,,82,0,71,71,134,0,0
1520816316736,130,TCP Sampler Text,200,OK,Thread Group 1-32,text,true,,82,0,71,71,130,0,0
1520816316739,127,TCP Sampler Text,200,OK,Thread Group 1-34,text,true,,82,0,70,70,127,0,0
1520816316743,122,TCP Sampler Text,200,OK,Thread Group 1-36,text,true,,82,0,70,70,122,0,0
1520816316680,185,TCP Sampler Text,200,OK,Thread Group 1-3,text,true,,82,0,70,70,185,0,1
1520816316750,115,TCP Sampler Text,200,OK,Thread Group 1-38,text,true,,82,0,70,70,115,0,0
1520816316688,177,TCP Sampler Text,200,OK,Thread Group 1-7,text,true,,82,0,70,70,177,0,1
1520816316697,168,TCP Sampler Text,200,OK,Thread Group 1-11,text,true,,82,0,70,70,168,0,0
1520816316710,155,TCP Sampler Text,200,OK,Thread Group 1-15,text,true,,82,0,70,70,155,0,1
1520816316718,147,TCP Sampler Text,200,OK,Thread Group 1-19,text,true,,82,0,70,70,147,0,0
1520816316728,137,TCP Sampler Text,200,OK,Thread Group 1-23,text,true,,82,0,70,70,137,0,0
1520816316754,111,TCP Sampler Text,200,OK,Thread Group 1-35,text,true,,82,0,70,70,111,0,0
1520816316852,10,TCP Sampler Text,200,OK,Thread Group 1-81,text,true,,82,0,67,67,10,0,0
1520816316849,13,TCP Sampler Text,200,OK,Thread Group 1-77,text,true,,82,0,67,67,13,0,0
1520816316846,15,TCP Sampler Text,200,OK,Thread Group 1-67,text,true,,82,0,67,67,15,0,0
1520816316844,17,TCP Sampler Text,200,OK,Thread Group 1-71,text,true,,82,0,67,67,17,0,0
1520816316842,19,TCP Sampler Text,200,OK,Thread Group 1-75,text,true,,82,0,67,67,19,0,0
1520816316825,35,TCP Sampler Text,200,OK,Thread Group 1-70,text,true,,82,0,66,66,35,0,0
1520816316823,36,TCP Sampler Text,200,OK,Thread Group 1-58,text,true,,82,0,66,66,36,0,0
1520816316821,38,TCP Sampler Text,200,OK,Thread Group 1-55,text,true,,82,0,66,66,38,0,0
1520816316757,100,TCP Sampler Text,200,OK,Thread Group 1-37,text,true,,82,0,63,63,100,0,0
1520816316841,14,TCP Sampler Text,200,OK,Thread Group 1-54,text,true,,82,0,58,58,14,0,0
1520816316850,4,TCP Sampler Text,200,OK,Thread Group 1-79,text,true,,82,0,58,58,4,0,0
1520816316847,6,TCP Sampler Text,200,OK,Thread Group 1-51,text,true,,82,0,58,58,6,0,0
1520816316845,8,TCP Sampler Text,200,OK,Thread Group 1-69,text,true,,82,0,58,58,8,0,0
1520816316843,9,TCP Sampler Text,200,OK,Thread Group 1-73,text,true,,82,0,58,58,9,0,0
1520816316824,16,TCP Sampler Text,200,OK,Thread Group 1-56,text,true,,82,0,48,48,16,0,0
1520816316822,18,TCP Sampler Text,200,OK,Thread Group 1-60,text,true,,82,0,48,48,18,0,0
1520816316756,83,TCP Sampler Text,200,OK,Thread Group 1-42,text,true,,82,0,48,48,83,0,0
1520816316753,86,TCP Sampler Text,200,OK,Thread Group 1-40,text,true,,82,0,48,48,86,0,0
1520816316725,114,TCP Sampler Text,200,OK,Thread Group 1-14,text,true,,82,0,48,48,114,0,0
