timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1520816214233,9,TCP Sampler Text,200,OK,Thread Group 1-1,text,true,,80,0,1,1,9,0,1
1520816214253,3,TCP Sampler Binary,200,OK,Thread Group 1-1,text,true,,32,0,1,1,3,0,1
1520816214257,2,TCP Sampler Text,200,OK,Thread Group 1-1,text,true,,80,0,1,1,2,0,0
1520816214259,1,TCP Sampler Binary,200,OK,Thread Group 1-1,text,true,,32,0,1,1,1,0,0
1520816214275,1,TCP Sampler Text,200,OK,Thread Group 1-2,text,true,,80,0,1,1,0,0,0
1520816214276,1,TCP Sampler Binary,200,OK,Thread Group 1-2,text,true,,32,0,1,1,0,0,0
1520816214277,2,TCP Sampler Text,200,OK,Thread Group 1-2,text,true,,80,0,1,1,1,0,1
1520816214279,2,TCP Sampler Binary,200,OK,Thread Group 1-2,text,true,,32,0,1,1,2,0,1
1520816214317,3,TCP Sampler Text,200,OK,Thread Group 1-3,text,true,,80,0,1,1,2,0,1
1520816214322,11,TCP Sampler Binary,200,OK,Thread Group 1-3,text,true,,32,0,1,1,10,0,0
1520816214333,2,TCP Sampler Text,200,OK,Thread Group 1-3,text,true,,80,0,1,1,2,0,1
1520816214335,3,TCP Sampler Binary,200,OK,Thread Group 1-3,text,true,,32,0,1,1,3,0,0
1520816214357,1,TCP Sampler Text,200,OK,Thread Group 1-4,text,true,,80,0,1,1,1,0,0
1520816214359,6,TCP Sampler Binary,200,OK,Thread Group 1-4,text,true,,32,0,1,1,5,0,0
1520816214365,2,TCP Sampler Text,200,OK,Thread Group 1-4,text,true,,80,0,1,1,2,0,0
1520816214368,1,TCP Sampler Binary,200,OK,Thread Group 1-4,text,true,,32,0,1,1,1,0,0
1520816214398,2,TCP Sampler Text,200,OK,Thread Group 1-5,text,true,,80,0,1,1,2,0,0
1520816214401,5,TCP Sampler Binary,200,OK,Thread Group 1-5,text,true,,32,0,1,1,5,0,0
1520816214406,1,TCP Sampler Text,200,OK,Thread Group 1-5,text,true,,80,0,1,1,1,0,1
1520816214408,1,TCP Sampler Binary,200,OK,Thread Group 1-5,text,true,,32,0,1,1,1,0,0
1520816214446,2,TCP Sampler Text,200,OK,Thread Group 1-6,text,true,,80,0,1,1,1,0,0
1520816214448,1,TCP Sampler Binary,200,OK,Thread Group 1-6,text,true,,32,0,1,1,1,0,1
1520816214449,2,TCP Sampler Text,200,OK,Thread Group 1-6,text,true,,80,0,1,1,2,0,1
1520816214452,1,TCP Sampler Binary,200,OK,Thread Group 1-6,text,true,,32,0,1,1,1,0,0
1520816214474,1,TCP Sampler Text,200,OK,Thread Group 1-7,text,true,,80,0,1,1,1,0,0
1520816214475,6,TCP Sampler Binary,200,OK,Thread Group 1-7,text,true,,32,0,1,1,6,0,1
1520816214481,1,TCP Sampler Text,200,OK,Thread Group 1-7,text,true,,80,0,1,1,1,0,1
